# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.12.0-pre1

dailyreward::0ca1a342-c843-4a8d-a006-cee8d45fea0a, date, 810974696D657374616D700400000197C440D937
dailyreward::0ec8fa68-ac56-47de-af4c-7d6cdfbbbc05, date, 810974696D657374616D700400000197B709DE55
dailyreward::2b5a7ce2-43db-4cd7-a99c-aa57fb0e6c46, date, 810974696D657374616D700400000197C64E0BA0
dailyreward::2f7d0250-d9a7-46fd-8a7d-7873dc96e8b1, date, 810974696D657374616D700400000197C4CF662C
dailyreward::3a930f11-8842-4eb3-b854-3361ed8e80a3, date, 810974696D657374616D700400000197CA307B13
dailyreward::3ba0464a-b213-4f43-aae0-666979bad51b, date, 810974696D657374616D700400000197C69A4C22
dailyreward::3bb7b6ea-bcce-4cbc-8f53-48a38ae483f6, date, 810974696D657374616D700400000197B69A167E
dailyreward::6fae8b13-51c9-4489-92e4-c41ef622a287, date, 810974696D657374616D700400000197B5870BF2
dailyreward::7ba638f1-3daf-406f-a002-ffcbd8592d47, date, 810974696D657374616D700400000197C438BFAC
dailyreward::07f3aebd-b964-49d1-9550-a6f84e1f4d09, date, 810974696D657374616D700400000197B6B0C680
dailyreward::8c63fceb-231a-4651-be2c-3cf112892068, date, 810974696D657374616D700400000197CA2FE12E
dailyreward::8fd3bfef-21c1-446d-a37b-c70dbabbe757, date, 810974696D657374616D700400000197B5D15392
dailyreward::9aaf8e23-1742-4712-b6c4-423eda677b6e, date, 810974696D657374616D700400000197B622D04F
dailyreward::9cd13673-5f34-45d4-91fe-cd9198a69a11, date, 810974696D657374616D700400000197B583E22F
dailyreward::22a30d32-6eef-4938-ba87-364d3fe7d8e6, date, 810974696D657374616D700400000197C588AD11
dailyreward::32a93f4d-2215-4072-ab1d-e82f6544f1ed, date, 810974696D657374616D700400000197B58CDD03
dailyreward::049fdd56-3f6f-4dbc-92a1-ceaf4a4c3077, date, 810974696D657374616D700400000197C47F1607
dailyreward::53f77a2f-2c13-442c-b280-9b6237627789, date, 810974696D657374616D700400000197B5F72856
dailyreward::62b6cf5f-8e1e-4fbc-9a6e-ab65262d2634, date, 810974696D657374616D700400000197C5C164CA
dailyreward::75fb39a5-9e04-4f5b-b46e-a046f489327f, date, 810974696D657374616D700400000197B5FE9D83
