# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.11.2

dailyreward::0ec8fa68-ac56-47de-af4c-7d6cdfbbbc05, date, 810974696D657374616D700400000197B709DE55
dailyreward::3ba0464a-b213-4f43-aae0-666979bad51b, date, 810974696D657374616D700400000197B78220A8
dailyreward::3bb7b6ea-bcce-4cbc-8f53-48a38ae483f6, date, 810974696D657374616D700400000197B69A167E
dailyreward::6fae8b13-51c9-4489-92e4-c41ef622a287, date, 810974696D657374616D700400000197B5870BF2
dailyreward::7ba638f1-3daf-406f-a002-ffcbd8592d47, date, 810974696D657374616D700400000197B5A5948D
dailyreward::07f3aebd-b964-49d1-9550-a6f84e1f4d09, date, 810974696D657374616D700400000197B6B0C680
dailyreward::8fd3bfef-21c1-446d-a37b-c70dbabbe757, date, 810974696D657374616D700400000197B5D15392
dailyreward::9aaf8e23-1742-4712-b6c4-423eda677b6e, date, 810974696D657374616D700400000197B622D04F
dailyreward::9cd13673-5f34-45d4-91fe-cd9198a69a11, date, 810974696D657374616D700400000197B583E22F
dailyreward::32a93f4d-2215-4072-ab1d-e82f6544f1ed, date, 810974696D657374616D700400000197B58CDD03
dailyreward::53f77a2f-2c13-442c-b280-9b6237627789, date, 810974696D657374616D700400000197B5F72856
dailyreward::62b6cf5f-8e1e-4fbc-9a6e-ab65262d2634, date, 810974696D657374616D700400000197B55D8B8B
dailyreward::75fb39a5-9e04-4f5b-b46e-a046f489327f, date, 810974696D657374616D700400000197B5FE9D83
dailyreward::83a7b05f-bb2f-488d-af16-a5821c5cabac, date, 810974696D657374616D700400000197B6658AEE
dailyreward::368f8251-d166-4d92-b15e-ccd2fa6b070c, date, 810974696D657374616D700400000197B66EE255
dailyreward::514efc64-cf17-41d8-b867-f3e00324da48, date, 810974696D657374616D700400000197B616EA69
dailyreward::0559e51d-1134-45fc-a11d-7ae991ccbb4a, date, 810974696D657374616D700400000197B64C37EB
dailyreward::589d0560-4f95-4ba0-9e52-9a743e50e68b, date, 810974696D657374616D700400000197B70AED34
dailyreward::769fe286-03b4-4742-9fbe-75398ddafaa9, date, 810974696D657374616D700400000197B5A48FD0
dailyreward::6272d13b-f1cf-4280-b110-2bf06bf9fe98, date, 810974696D657374616D700400000197B76F4D52
dailyreward::68686a4d-a880-40ce-bb66-1aeb725b71ac, date, 810974696D657374616D700400000197B59317BC
dailyreward::6632946e-6cbd-405a-950b-a25b6984e77a, date, 810974696D657374616D700400000197B6B0D1D5
dailyreward::22322678-1cc6-499e-a576-88bf5136b62b, date, 810974696D657374616D700400000197B5901603
dailyreward::a639ae07-a530-4151-bc9e-6db0390faa09, date, 810974696D657374616D700400000197B61AB8A1
dailyreward::a991684d-69bc-48a2-8e0b-ed76b3c6d348, date, 810974696D657374616D700400000197B5E1892E
dailyreward::b3f6e258-c803-4247-8f90-519c946b1a14, date, 810974696D657374616D700400000197B6BB3566
dailyreward::b287efa8-d7b3-42e7-be10-3c7bf8b3f2e4, date, 810974696D657374616D700400000197B73CCFEF
dailyreward::d1dcc9f8-9f0f-40a7-95cc-21d677324e42, date, 810974696D657374616D700400000197B5F6064C
dailyreward::d7a4cdce-82bd-4dd5-beb4-a0af19beccd8, date, 810974696D657374616D700400000197B5ACE4CF
dailyreward::da40e6bc-d08b-432d-916a-ce7fc6cb3a57, date, 810974696D657374616D700400000197B54C1A35
dailyreward::dcf83d1d-5534-4dc8-9678-13fc9d4c2b87, date, 810974696D657374616D700400000197B592562E
dailyreward::e116631d-c829-415c-8cb4-5e4ee1b3a6e9, date, 810974696D657374616D700400000197B62223A8
dailyreward::ee84e29f-8795-4ef6-9822-881ab0d7bd5b, date, 810974696D657374616D700400000197B55AAB68
dailyreward::f854df7c-7fb4-4442-813e-88665c65636e, date, 810974696D657374616D700400000197B5577D8A
dailyreward::fc3ea464-e7e1-4545-9cc8-7dfea77baff8, date, 810974696D657374616D700400000197B5687192
dailyreward::fffd86ac-a64e-4065-bfb3-eb783a172f88, date, 810974696D657374616D700400000197B5CCA9D2

